"user_id","vis_type","model_type","color_ramp_index","target_value","selected_value","aesthetic_rating","trial_number"
"7","choropleth","kmeans","6","5","4","12","25"
"7","scatter","linear","26","5","5","16","26"
"7","heatmap","kmeans","19","1","1","9","27"
"7","scatter","bayesian","17","7","6","11","28"
"7","scatter","engagement","0","8","8","8","29"
"7","heatmap","linear","18","7","7","11","30"
"7","choropleth","designer","26","1","1","53","31"
"7","choropleth","linear","20","0","0","9","32"
"7","choropleth","kmeans","1","3","3","22","33"
"7","choropleth","bayesian","21","8","8","8","34"
"7","scatter","kmeans","0","4","4","15","35"
"7","choropleth","linear","24","6","7","-10","36"
"7","heatmap","designer","2","6","5","6","37"
"7","heatmap","engagement","0","8","8","9","38"
"8","choropleth","linear","14","5","4","-64","0"
"8","scatter","bayesian","24","3","3","-49","1"
"8","heatmap","bayesian","2","5","6","33","2"
"8","heatmap","linear","1","3","4","33","3"
"8","choropleth","linear","17","6","5","-45","4"
"8","choropleth","bayesian","0","7","6","41","5"
"8","choropleth","designer","13","4","4","-98","6"
"8","scatter","designer","8","6","7","-80","7"
"8","heatmap","kmeans","20","3","4","-45","8"
"8","heatmap","designer","24","2","3","12","9"
"8","heatmap","kmeans","4","5","4","19","10"
"8","choropleth","linear","22","4","6","24","11"
"8","heatmap","bayesian","1","8","4","54","12"
"8","scatter","linear","8","7","4","-49","13"
"8","scatter","engagement","0","8","8","19","14"
"8","heatmap","linear","21","4","3","-25","15"
"8","heatmap","bayesian","26","0","1","20","16"
"8","choropleth","bayesian","3","3","4","36","17"
"8","scatter","bayesian","12","0","0","59","18"
"8","scatter","kmeans","11","1","2","-19","19"
"8","choropleth","designer","17","4","5","-27","20"
"8","scatter","kmeans","7","2","3","26","21"
"8","choropleth","kmeans","14","0","0","72","22"
"8","choropleth","kmeans","12","6","5","-54","23"
"8","scatter","designer","0","7","7","-43","24"
"8","heatmap","kmeans","15","8","8","52","25"
"8","choropleth","kmeans","2","1","0","-21","26"
"8","choropleth","engagement","0","8","8","54","27"
"8","scatter","kmeans","8","1","2","29","28"
"8","heatmap","linear","9","8","7","43","29"
"8","heatmap","engagement","0","8","8","82","30"
"8","choropleth","designer","16","6","6","32","31"
"8","scatter","designer","10","4","5","19","32"
"8","heatmap","designer","4","1","2","-32","33"
"8","choropleth","bayesian","9","1","2","-41","34"
"8","heatmap","designer","21","6","5","-61","35"
"8","scatter","linear","20","8","8","40","36"
"8","scatter","linear","18","2","1","-52","37"
"8","scatter","bayesian","18","3","3","-44","38"
"9","choropleth","designer","9","3","3","-51","0"
"9","scatter","bayesian","8","6","5","41","1"
"9","choropleth","engagement","0","8","8","-100","2"
"9","choropleth","kmeans","14","5","5","55","3"
"9","scatter","designer","8","8","8","-100","4"
"9","choropleth","bayesian","16","6","7","56","5"
"9","heatmap","linear","0","2","3","5","6"
"9","heatmap","kmeans","15","2","2","-79","7"
"9","scatter","linear","15","3","3","40","8"
"9","scatter","kmeans","21","2","2","73","9"
"9","scatter","kmeans","0","4","4","95","10"
"9","heatmap","engagement","0","8","8","-37","11"
"9","choropleth","designer","21","6","6","100","12"
"9","heatmap","designer","14","4","5","-100","13"
"9","scatter","bayesian","5","7","6","100","14"
"9","heatmap","bayesian","6","2","3","-30","15"
"9","heatmap","bayesian","19","7","7","74","16"
"9","scatter","kmeans","13","6","4","71","17"
"9","choropleth","kmeans","20","0","0","39","18"
"9","heatmap","kmeans","12","4","4","19","19"
"9","heatmap","kmeans","10","6","6","100","20"
"9","heatmap","designer","25","2","3","-90","21"
"9","choropleth","linear","19","1","2","61","22"
"9","scatter","engagement","0","8","8","8","23"
"9","heatmap","bayesian","17","2","2","92","24"
"9","heatmap","linear","5","4","4","96","25"
"9","scatter","linear","13","2","2","-76","26"
"9","heatmap","designer","10","0","0","-23","27"
"9","heatmap","linear","3","4","4","89","28"
"9","choropleth","bayesian","20","3","3","-72","29"
"9","scatter","designer","17","8","8","-88","30"
"9","choropleth","linear","26","4","5","-10","31"
"9","choropleth","designer","11","7","6","-47","32"
"9","scatter","bayesian","25","2","2","0","33"
"9","choropleth","kmeans","4","6","5","-80","34"
"9","scatter","linear","23","8","8","-48","35"
"9","choropleth","linear","12","2","2","54","36"
"9","choropleth","bayesian","4","8","8","-12","37"
"9","scatter","designer","3","4","3","-100","38"
"10","scatter","kmeans","14","4","4","14","0"
"10","choropleth","kmeans","1","0","0","-26","1"
"10","choropleth","kmeans","22","7","6","31","2"
"10","scatter","designer","7","8","8","38","3"
"10","choropleth","bayesian","21","1","1","38","4"
"10","scatter","kmeans","0","6","5","55","5"
"10","heatmap","kmeans","13","1","1","22","6"
"10","scatter","linear","17","1","1","0","7"
"10","choropleth","engagement","0","8","8","-15","8"
"10","heatmap","linear","24","5","5","-35","9"
"10","scatter","designer","14","5","5","78","10"
"10","heatmap","designer","19","1","2","27","11"
"10","choropleth","designer","1","2","2","0","12"
"10","choropleth","designer","5","5","4","0","13"
"10","choropleth","linear","1","3","4","50","14"
"10","scatter","engagement","0","8","8","21","15"
"10","scatter","bayesian","8","3","3","49","16"
"10","scatter","bayesian","14","7","6","-23","17"
"10","heatmap","bayesian","2","0","0","-17","18"
"10","choropleth","linear","3","6","5","22","19"
"10","scatter","linear","5","8","8","-27","20"
"10","scatter","designer","0","7","4","-26","21"
"10","heatmap","designer","12","3","3","-65","22"
"10","heatmap","kmeans","26","8","7","23","23"
"10","heatmap","engagement","0","8","8","24","24"
"10","scatter","kmeans","19","6","4","61","25"
"10","heatmap","kmeans","7","3","4","30","26"
"10","heatmap","linear","14","6","5","-85","27"
"10","choropleth","bayesian","17","5","4","52","28"
"10","heatmap","bayesian","22","1","1","-57","29"
"10","heatmap","linear","15","3","4","0","30"
"10","heatmap","bayesian","16","8","7","16","31"
"10","scatter","bayesian","6","7","6","21","32"
"10","choropleth","kmeans","11","7","6","-30","33"
"10","choropleth","designer","26","0","0","22","34"
"10","scatter","linear","9","6","4","62","35"
"10","choropleth","bayesian","15","1","1","26","36"
"10","heatmap","designer","23","8","7","19","37"
"10","choropleth","linear","26","3","3","-33","38"
"11","choropleth","kmeans","20","3","3","-100","0"
"11","choropleth","linear","19","1","1","-100","1"
"11","heatmap","linear","16","6","7","-100","2"
"11","heatmap","bayesian","7","7","8","-66","3"
"11","choropleth","bayesian","19","5","4","-49","4"
"11","scatter","kmeans","7","5","6","0","5"
"11","heatmap","kmeans","18","4","5","17","6"
"11","choropleth","kmeans","3","5","4","-28","7"
"11","choropleth","linear","25","7","6","25","8"
"11","heatmap","engagement","0","8","8","-8","9"
"11","scatter","kmeans","13","1","1","-11","10"
"11","choropleth","kmeans","19","0","0","48","11"
"11","scatter","designer","25","4","5","-37","12"
"11","scatter","designer","15","0","0","-16","13"
"11","scatter","bayesian","13","5","4","-12","14"
"11","heatmap","kmeans","9","2","2","38","15"
"11","scatter","bayesian","14","5","3","-12","16"
"11","heatmap","designer","18","8","8","8","17"
"11","scatter","linear","5","8","8","11","18"
"11","heatmap","designer","24","5","6","10","19"
"11","heatmap","linear","20","2","3","-10","20"
"11","scatter","linear","15","7","7","12","21"
"11","choropleth","designer","1","0","0","55","22"
"11","choropleth","bayesian","2","0","0","43","23"
"11","heatmap","designer","10","3","4","-59","24"
"11","scatter","linear","10","0","0","16","25"
"11","scatter","kmeans","17","1","2","-11","26"
"11","heatmap","bayesian","8","6","7","10","27"
"11","heatmap","bayesian","23","4","5","-74","28"
"11","choropleth","designer","23","8","8","29","29"
"11","choropleth","linear","14","8","7","13","30"
"11","choropleth","bayesian","3","5","5","-9","31"
"11","heatmap","linear","7","2","4","-10","32"
"11","scatter","designer","14","5","5","15","33"
"11","scatter","bayesian","20","2","3","-10","34"
"11","scatter","engagement","0","8","8","15","35"
"11","choropleth","designer","13","2","3","100","36"
"11","heatmap","kmeans","1","8","7","13","37"
"11","choropleth","engagement","0","8","8","14","38"
"12","scatter","bayesian","17","8","8","0","0"
"12","heatmap","designer","7","2","3","0","1"
"12","heatmap","kmeans","25","5","6","0","2"
"12","choropleth","kmeans","10","4","4","0","3"
"12","choropleth","kmeans","11","5","5","0","4"
"12","scatter","kmeans","19","0","0","0","5"
"12","heatmap","designer","0","5","5","0","6"
"12","choropleth","bayesian","14","5","4","0","7"
"12","heatmap","linear","1","3","2","0","8"
"12","choropleth","linear","2","1","1","0","9"
"12","choropleth","linear","23","3","3","0","10"
"12","scatter","designer","11","1","1","0","11"
"12","heatmap","bayesian","23","7","6","0","12"
"12","choropleth","designer","19","3","3","0","13"
"12","choropleth","linear","0","6","5","0","14"
"12","heatmap","designer","1","8","8","0","15"
"12","scatter","designer","13","7","7","0","16"
"12","heatmap","linear","10","6","5","0","17"
"12","heatmap","kmeans","23","2","2","0","18"
"12","heatmap","linear","26","0","0","0","19"
"12","choropleth","bayesian","26","2","3","0","20"
