InstutionName	City	Tuition	InstitutionType
Empire Beauty School-Manitowoc	Manitowoc	11308	Private
Unification Theological Seminary	Barrytown		Private
Athens Technical College	Athens	6282	Public
Maricopa Skill Center	Phoenix	11987	Public
Carrington College-San Leandro	San Leandro	18252	Private
Headmasters School of Hair Design	Lewiston	21421	Private
Razzle Dazzle College of Hair Design Inc	Nampa	15537	Private
Beckfield College-Florence	Florence	18336	Private
Dorsey Business Schools-Wayne	Wayne	22674	Private
Ecumenical Theological Seminary	Detroit		Private
Ross Medical Education Center-Saginaw	Saginaw	17533	Private
Sussex County Community College	Newton	11564	Public
Landmark College	Putney	34921	Private
National American University-Independence	Independence	16266	Private
Yeshiva Gedolah of Greater Detroit	Oak Park	6164	Private
Austin Graduate School of Theology	Austin		Private
Collin County Community College District	McKinney	6210	Public
Owensboro Community and Technical College	Owensboro	6722	Public
Heads West Kentucky Beauty College	Madisonville	9476	Private
Jenny Lea Academy of Cosmetology	Whitesburg	5970	Private
Empire Beauty School-Hurstborne	Louisville	12191	Private
Southeast School of Cosmetology	Manchester	7278	Private
Cloyd's Beauty School 3 Inc	Monroe	6129	Private
Moore Norman Technology Center	Norman	1767	Public
Fayette County Career & Technical Institute Practical Nursing Program	Uniontown	9383	Public
Franklin County Career and Technology Center	Chambersburg	18634	Public
Paul Mitchell the School-Knoxville	Knoxville	11705	Private
Ogle School Hair Skin Nails-Hurst	Hurst	17414	Private
Fashion Institute of Design & Merchandising-San Diego	San Diego	34525	Private
National American University-Albuquerque	Albuquerque		Private
Tennessee College of Applied Technology Nashville	Nashville	6782	Public
ECPI University	Virginia Beach	19290	Private
Branford Hall Career Institute-Jersey City	Jersey City	27632	Private
Paul Mitchell the School-Houston	Houston	17915	Private
TDDS Technical Institute	Lake Milton	7315	Private
Fortis Institute-Forty Fort	Forty Fort	18037	Private
Laurel Business Institute	Uniontown	7648	Private
Antonelli Medical and Professional Institute	Pottstown	19742	Private
Aviation Institute of Maintenance-Philadelphia	Philadelphia	23983	Private
Fortis Institute-Mulberry	Mulberry	18555	Private
Carrington College-Westside	Phoenix	24183	Private
Dorsey Business Schools-Roseville	Roseville	26417	Private
Moler-Pickens Beauty Academy	Fairfield	10243	Private
Red River Technology Center	Duncan	4438	Public
Brightwood Career Institute-Harrisburg	Harrisburg	19905	Private
ITT Technical Institute-Newburgh	Newburgh	25044	Private
Southern Union State Community College	Wadley	7575	Public
South University-Columbia	Columbia	23590	Private
Everest University-Brandon	Tampa	23547	Private
Clinton Technical School	Clinton	21932	Public
Consolidated School of Business-Lancaster	Lancaster	8635	Private
Greene County Career and Technology Center	Waynesburg	21842	Public
Lac Courte Oreilles Ojibwa Community College	Hayward	5981	Public
Diesel Driving Academy-Shreveport	Shreveport	14114	Private
Pima Medical Institute-Mesa	Mesa	14167	Private
Platt College-Los Angeles	Alhambra	30185	Private
Platt College-Aurora	Aurora	39095	Private
Kaplan University-Davenport Campus	Davenport	16181	Private
Kaplan University-Cedar Falls Campus	Cedar Falls	19281	Private
Paul Mitchell the School-Boise	Boise	15135	Private
Christian Life College	Mount Prospect	7702	Private
Knowledge Systems Institute	Skokie		Private
Educators of Beauty College of Cosmetology-Rockford	Rockford	10873	Private
ITT Technical Institute-Arlington Heights	Arlington Heights	23135	Private
Northwestern College-Southwestern Campus	Bridgeview	25522	Private
Tulsa Technology Center-Lemley Campus	Tulsa	16984	Public
Tulsa Technology Center-Riverside Campus	Tulsa	6688	Public
Tulsa Technology Center-Broken Arrow Campus	Broken Arrow	10381	Public
Douglas J Aveda Institute	East Lansing	20773	Private
ITT Technical Institute-Troy	Troy	23765	Private
Ross Medical Education Center-Brighton	Brighton	17560	Private
Ross Medical Education Center-Ann Arbor	Ann Arbor	19291	Private
Taylortown School of Beauty Inc	Taylor	15278	Private
Pike-Lincoln Technical Center	Eolia		Private
Pennsylvania Institute of Health and Technology	Mount Braddock	11800	Private
Skyline College-Roanoke	Roanoke	19206	Private
Bethel Seminary-San Diego	San Diego		Private
St Charles Community College	Cottleville	3368	Public
Brandman University	Irvine	15369	Private
New College of Florida	Sarasota	9552	Public
Arizona Academy of Beauty-North	Tucson	12471	Private
Empire Beauty School-Prescott	Prescott	11343	Private
Le Cordon Bleu College of Culinary Arts-Scottsdale	Scottsdale	17777	Private
Conservatory of Recording Arts and Sciences	Tempe	24747	Private
Adrian's College of Beauty Turlock	Turlock	12147	Private
California Career School	Anaheim		Private
Rolf Institute of Structural Integration	Boulder		Private
Heritage College-Denver	Denver	19089	Private
Empire Beauty School-Highland	Louisville	12192	Private
Sunstate Academy	Fort Myers	33318	Private
Elizabeth Grady School of Esthetics and Massage Therapy	Medford	10977	Private
Ross Medical Education Center-Port Huron	Port Huron	18978	Private
Capri Institute of Hair Design-Clifton	Clifton	20478	Private
Raphael's School of Beauty Culture Inc-Alliance	Alliance	9274	Private
Metro Technology Centers	Oklahoma City	13680	Public
Heald College-Roseville	Roseville	20152	Private
Daymar College-Bowling Green	Bowling Green	21123	Private
Everest College-Everett	Everett	20401	Private
Luna Community College	Las Vegas	4899	Public
Grabber School of Hair Design	St. Louis	11107	Private
Yeshivah Gedolah Rabbinical College	Miami Beach		Private
University of the District of Columbia-David A Clarke School of Law	Washington		Private
Raphael's School of Beauty Culture Inc-Brunswick	Brunswick	12524	Private
Caribbean University-Ponce	Ponce	2865	Private
Caribbean University-Vega Baja	Vega Baja	3717	Private
University of Advancing Technology	Tempe	28267	Private
Paradise Valley Community College	Phoenix	7904	Public
Chandler-Gilbert Community College	Chandler	8536	Public
HSHS St. John's Hospital School of Clinical Laboratory Science	Springfield		Private
Madison Media Institute	Madison	22238	Private
Sanford-Brown Institute-White Plains	White Plains		Private
Sanford-Brown Institute-Garden City	Garden City	17319	Private
Great Plains Technology Center	Lawton	9706	Public
Roane-Jackson Technical Center	Leroy	3194	Public
Total Cosmetology Training Center	Spokane	13224	Private
Pioneer Technology Center	Ponca City	4212	Public
Portage Lakes Career Center	Uniontown	10174	Public
Eastern College of Health Vocations-New Orleans	New Orleans	12514	Private
Bell Mar Beauty College	Cicero	9602	Private
Cannella School of Hair Design-Chicago	Chicago	3856	Private
Caddo Kiowa Technology Center	Fort Cobb	6320	Public
Brightwood College-San Antonio-San Pedro	San Antonio	21596	Private
Center for Instruction Technology & Innovation (CiTi)	Mexico	13830	Public
Le Cordon Bleu College of Culinary Arts-Austin	Austin	16357	Private
The Art Institute of New York City	New York	23294	Private
Paris II Educational Center	Gladstone	7420	Private
International School of Skin Nailcare & Massage Therapy	Atlanta	24177	Private
Palomar Institute of Cosmetology	San Marcos	12969	Private
Southern Oklahoma Technology Center	Ardmore	4242	Public
Vista College	El Paso	17401	Private
Autry Technology Center	Enid	11918	Public
Greene County Vocational School District	Xenia	10629	Public
Canadian Valley Technology Center	El Reno	1438	Public
Wilkes-Barre Area Career and Technical Center Practical Nursing	Wilkes Barre	16672	Public
Mayo Graduate School	Rochester		Private
Meridian Technology Center	Stillwater	8845	Public
Waynesville Career Center	Waynesville	13963	Public
Connecticut Institute of Hair Design	Wolcott	10386	Private
Capitol School of Hairstyling and Esthetics	Omaha	14448	Private
Morris County Vocational School District	Denville	13089	Public
Ross Medical Education Center-Roosevelt Park	Roosevelt Park	17166	Private
Ross Medical Education Center-Kentwood	Kentwood	17587	Private
South Florida Bible College and Theological Seminary	Deerfield Beach	13867	Private
Cloyd's Barber School 2 Inc	Monroe	1255	Private
Universal Technical Institute of Illinois Inc	Lisle	17462	Private
Pennsylvania College of Technology	Williamsport	23697	Public
Commonwealth Institute of Funeral Service	Houston	21780	Private
Delta College of Arts & Technology	Baton Rouge	18638	Private
InterCoast Colleges-Orange	Orange	24898	Private
Stone Child College	Box Elder	8156	Public
New York Academy of Art	New York		Private
Suffolk County Community College	Selden	6371	Public
Las Positas College	Livermore	4639	Public
Blades School of Hair Design	California	15766	Private
Ogeechee Technical College	Statesboro	8556	Public
Remington College-Mobile Campus	Mobile	20367	Private
Everest College-Aurora	Aurora	21732	Private
Southern Technical College	Fort Myers	15139	Private
Mercy-St Luke's School of Radiologic Technology	Cedar Rapids		Private
ITT Technical Institute-Norwood	Norwood	23903	Private
Southwest Acupuncture College-Santa Fe	Santa Fe		Private
Northwest Technology Center-Alva	Alva		Private
Mercer County Career Center	Mercer	7657	Public
ITT Technical Institute-Knoxville	Knoxville	24269	Private
ITT Technical Institute-Austin	Austin	23849	Private
ITT Technical Institute-Houston North	Houston	23140	Private
California State University-San Marcos	San Marcos	9736	Public
Argosy University-Hawaii	Honolulu	15791	Private
Baptist Theological Seminary at Richmond	Henrico		Private
Brightwood College-Modesto	Salida	23629	Private
Kaplan University-Des Moines Campus	Urbandale	18851	Private
Hairmasters Institute of Cosmetology	Bloomington	8378	Private
Tricoci University of Beauty Cuture LLC-Bloomington	Bloomington	8289	Private
Pinnacle Career Institute-Lawrence	Lawrence	24207	Private
Interactive College of Technology-Newport	Newport	12054	Private
Career Technical College-Monroe	Monroe	18762	Private
Empire Beauty School-Lowell	Lowell	13629	Private
Ross Medical Education Center-Taylor	Taylor	20172	Private
McNally Smith College of Music	Saint Paul	32667	Private
National Tractor Trailer School Inc-Liverpool	Liverpool	12820	Private
Interactive College of Technology	Houston	8746	Private
Star Career Academy-Brick	Brick	22294	Private
New Castle Beauty Academy	New Castle	9460	Private
NorthWest Arkansas Community College	Bentonville	6474	Public
Madera Beauty College	Madera	13842	Private
Colorado Heights University	Denver	2813	Private
Brewster Technical College	Tampa	11576	Public
Hodges University	Naples	16880	Private
Everest University-Lakeland	Lakeland	22174	Private
Argosy University-Atlanta	Atlanta	20018	Private
University of St Augustine for Health Sciences	San Marcos		Private
Capital Area School of Practical Nursing	Springfield	8751	Public
Hair Professionals Career College	Palos Hills	23834	Private
Alexandria School of Scientific Therapeutics	Alexandria	16472	Private
Empire Beauty School-Bloomfield	Bloomfield	14347	Private
Southwest Technology Center	Altus	23485	Public
Western Area Career & Technology Center	Canonsburg	9251	Public
Daymar Institute-Clarksville	Clarksville	23842	Private
Nossi College of Art	Madison	20741	Private
Seguin Beauty School-New Braunfels	New Braunfels	14125	Private
ITT Technical Institute-Norfolk	Norfolk	24125	Private
Pima Medical Institute-Seattle	Seattle	15419	Private
Mineral County Vocational Technical Center	Keyser	658	Public
Hypnosis Motivation Institute	Tarzana	34111	Private
Los Angeles ORT College-Los Angeles Campus	Los Angeles	18583	Private
Everest College-West Los Angeles	Los Angeles	24880	Private
Thanh Le College School of Cosmetology	Garden Grove	6362	Private
Southeastern Technical College	Vidalia	3973	Public
Massachusetts School of Law	Andover		Private
ITT Technical Institute-Albuquerque	Albuquerque	25673	Private
Community Services Division-Alliance City	Alliance	7932	Public
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando	Orlando	22325	Private
Erwin Technical College	Tampa	14211	Public
Rosel School of Cosmetology	Chicago	4629	Private
Worsham College of Mortuary Science	Wheeling		Private
Bryan University	Springfield	19402	Private
Oregon College of Oriental Medicine	Portland		Private
Central Pennsylvania Institute of Science and Technology	Pleasant Gap	12106	Public
Northwest Educational Center	Houston	8225	Private
Sebring Career Schools-Houston	Houston	13545	Private
PCI Health Training Center	Dallas	16110	Private
Windham Memorial Hospital-Radiologic Technology Program	Willimantic		Private
Miami-Jacobs Career College-Columbus	Columbus	23145	Private
Bryant & Stratton College-Eastlake	Eastlake	14328	Private
Hamrick School	Medina	13394	Private
Alabama State College of Barber Styling	Gardendale	3748	Private
Fortis College-Mobile	Mobile	20482	Private
Arkansas Beauty School	Conway	10261	Private
Everest College-Ontario	Ontario	26726	Private
Downey Adult School	Downey	1872	Public
Heald College-Stockton	Stockton	20922	Private
Heald College-Hayward	Hayward	17706	Private
CRU Institute	Garden Grove	16457	Private
Modern Technology School	Fountain Valley	15790	Private
National Career Education	Rancho Cordova	17384	Private
Everest College-Anaheim	Anaheim	22076	Private
Thuy Princess Beauty College	Pomona	13538	Private
North-West College-Glendale	Glendale	20193	Private
Everest College-City of Industry	City of Industry	20941	Private
Fremont College	Cerritos	21461	Private
Pomona Unified School District Adult and Career Education	Pomona	4205	Public
Universal College of Beauty Inc-Los Angeles 2	Los Angeles	15993	Private
IBMC College	Fort Collins	19788	Private
Xenon International Academy-Denver	Aurora	15856	Private
Academy of Cosmetology	Merritt Island	15203	Private
ITT Technical Institute-Lake Mary	Lake Mary	25319	Private
Sunstate Academy	Clearwater	23430	Private
Heritage Institute-Jacksonville	Jacksonville	20253	Private
Fortis College-Smyrna	Smyrna	20543	Private
Remington College-Honolulu Campus	Honolulu	18897	Private
Vatterott College-Des Moines	Des Moines	19656	Private
Brown Mackie College-Quad Cities	Bettendorf	18890	Private
Pivot Point Academy-Bloomingdale	Bloomingdale	15033	Private
Blalock's Professional Beauty College	Shreveport	10727	Private
Diesel Driving Academy-Baton Rouge	Baton Rouge	14140	Private
Jonesville Beauty School	Vidalia	7020	Private
New England Hair Academy	Malden	13515	Private
Rob Roy Academy-Worcester	Worcester	15760	Private
Upper Cape Cod Regional Technical School	Bourne	18347	Public
All-State Career-Baltimore	Baltimore	15147	Private
New England School of Communications	Bangor		Private
Everest Institute-Kalamazoo	Kalamazoo	27333	Private
Adler Graduate School	Richfield		Private
Academy of Hair Design-Jackson	Jackson	8387	Private
KC's School of Hair Design	Pontotoc	11294	Private
Mitchells Hairstyling Academy-Goldsboro	Goldsboro	8426	Private
Lincoln Technical Institute-Moorestown	Moorestown	23531	Private
Monmouth County Vocational School District	Freehold	17725	Public
Brightwood College-Las Vegas	Las Vegas	20071	Private
Beauty School of Middletown	Middletown	15403	Private
Bryant & Stratton College-Southtowns	Orchard Park	14487	Private
National Tractor Trailer School Inc-Buffalo	Buffalo	15003	Private
Yeshiva Gedolah Imrei Yosef D'spinka	Brooklyn	11225	Private
Cleveland Institute of Dental-Medical Assistants-Mentor	Mentor	11823	Private
Cleveland Institute of Dental-Medical Assistants-Lyndhurst	Lyndhurst	11715	Private
Knox County Career Center	Mount Vernon	15363	Public
Madison Adult Career Center	Mansfield	9619	Public
Remington College-Cleveland Campus	Cleveland	20821	Private
Brown Mackie College-Findlay	Findlay	18999	Private
Toledo Academy of Beauty Culture-East	OREGON	8646	Private
U S Grant Joint Vocational School	Bethel	3862	Public
CC's Cosmetology College	Tulsa	16416	Private
Chisholm Trail Technology Center	Omega	726	Public
Gordon Cooper Technology Center	Shawnee	165	Public
Kiamichi Technology Center-Atoka	Atoka	2819	Public
Kiamichi Technology Center-Durant	Durant	3141	Public
Kiamichi Technology Center-Hugo	Hugo	1919	Public
Kiamichi Technology Center-McAlester	McAlester	4778	Public
Kiamichi Technology Center-Idabel	Idabel	1092	Public
Kiamichi Technology Center-Poteau	Poteau	2242	Public
Kiamichi Technology Center-Spiro	Spiro	8797	Public
Kiamichi Technology Center-Talihina	Talihina	3330	Public
Le Cordon Bleu College of Culinary Arts-Portland	Portland	17735	Private
YTI Career Institute-Altoona	Altoona	9303	Private
Eastern Center for Arts and Technology	Willow Grove	14788	Public
Empire Beauty School-Center City Philadelphia	Philadelphia	15386	Private
Centro de Estudios Multidisciplinarios-Humacao	Humacao	5963	Private
Colegio Mayor de Tecnologia Inc	Arroyo	8414	Private
Institucion Chaviano de Mayaguez	Mayaguez	4371	Private
EDIC College	Caguas	4589	Private
Liceo de Arte-Dise-O y Comercio	Caguas	5485	Private
Universal Technology College of Puerto Rico	Aguadilla	3360	Private
Academy of Hair Technology	Greenville	14633	Private
Mr Wayne's School of Unisex Hair Design	Cookeville	12115	Private
The Center for Cosmetology Education	Memphis	13816	Private
Queen City College	Clarksville	9726	Private
College of the Marshall Islands	Majuro	3542	Public
Lighthouse Career Institute	Dallas	16135	Private
American National College	South Houston	10254	Private
ITT Technical Institute-San Antonio	San Antonio	22730	Private
Remington College-Fort Worth Campus	Fort Worth	20972	Private
University of Cosmetology Arts & Sciences-San Antonio Jamar	San Antonio	6289	Private
School of Automotive Machinists	Houston	22244	Private
SW School of Business and Technical Careers-Cosmetology	San Antonio	10766	Private
SW School of Business and Technical Careers	Eagle Pass	10832	Private
Texas College of Cosmetology-Abilene	Abilene	12495	Private
Vista College-Online	Richardson	29077	Private
Centura College-Newport News	Newport News	23003	Private
Centura College-Norfolk	Norfolk	23257	Private
Virginia Beach City Public Schools School of Practical Nursing	Virginia Beach	4202	Public
Northwest College of Art & Design	Poulsbo	27661	Private
University of Washington-Bothell Campus	Bothell	11505	Public
University of Washington-Tacoma Campus	Tacoma	10087	Public
Valley College-Beckley	Beckley	25585	Private
Valley College-Martinsburg	Martinsburg	20628	Private
Valley College-Princeton	Princeton	25565	Private
Bellus Academy-Poway	Poway	31530	Private
Capstone College	Pasadena	12751	Private
Central Coast College	Salinas	14515	Private
ITT Technical Institute-Torrance	Torrance	22664	Private
Pacific College of Oriental Medicine-San Diego	San Diego	21315	Private
Artistic Nails and Beauty Academy-Tampa	Tampa	11760	Private
National Aviation Academy of Tampa Bay	Clearwater	21967	Private
Cain's Barber College Inc	Chicago	10897	Private
Madison Oneida BOCES-Practical Nursing Program	Verona	15319	Public
Astrodome Career Centers	Houston	5742	Private
Center for Advanced Legal Studies	Houston	18772	Private
Houston Training School-Main Campus	Houston	3407	Private
Remington College-Houston Campus	Houston	19475	Private
Bay Mills Community College	Brimley	4956	Public
Fond du Lac Tribal and Community College	Cloquet	11943	Public
Northwest Indian College	Bellingham	6607	Public
Marinello Schools of Beauty-Provo	Provo	16184	Private
Provo College	Provo	20555	Private
Paul Mitchell the School-Provo	Provo	16082	Private
University of Phoenix-Utah	Salt Lake City	18957	Private
Utah College of Massage Therapy-Salt Lake City	Salt Lake City	21092	Private
CET-Coachella	Coachella	8125	Private
CET-Oxnard	Oxnard	12238	Private
CET-Santa Maria	Santa Maria	13610	Private
Colorado School of Traditional Chinese Medicine	Denver		Private
Massage Therapy Institute of Colorado	Denver	34742	Private
Michigan College of Beauty-Troy	Troy	17144	Private
Ogle School Hair Skin Nails-Dallas	Dallas	17383	Private
Phoenix Seminary	Phoenix		Private
Faust Institute of Cosmetology-Spirit Lake	Spirit Lake	11685	Private
Seattle Vocational Institute	Seattle	1736	Public
Baker College of Port Huron	Port Huron	12365	Private
Empire Beauty School-Hyannis	Hyannis	15653	Private
Brookstone College-Greensboro	Greensboro	14207	Private
Cheeks International Academy of Beauty Culture-Fort Collins	Loveland	7754	Private
Cheeks International Academy of Beauty Culture-Greeley	Greeley	7887	Private
Colorado School of Healing Arts	Lakewood	21752	Private
Westwood College-Aurora Campus	Aurora	20890	Private
Healing Arts Institute	Fort Collins	20096	Private
ITT Technical Institute-San Bernardino	San Bernardino	23252	Private
Los Angeles ORT College-Van Nuys Campus	Van Nuys	18047	Private
University of Phoenix-Puerto Rico	Guaynabo	13805	Private
Mt. Diablo Adult Education-Mt. Diablo USD	Concord	16718	Public
Royale College of Beauty	Temecula	12019	Private
Westech College	Fontana	15062	Private
Greater Lowell Technical School	Tyngsboro	18291	Public
Academy of Hair Design-Pearl	Pearl	9056	Private
King's College	Charlotte	15251	Private
Miller-Motte Technical College-Clarksville	Clarksville	19870	Private
Genesis Career College-Lebanon	Lebanon	9289	Private
Brightwood College-Dallas	Dallas	19528	Private
Star College of Cosmetology 2	Tyler	12631	Private
Southwest Collegiate Institute for the Deaf	Big Spring	4118	Public
Fortis College-Richmond	Richmond	19886	Private
Midwest College of Oriental Medicine-Racine	Racine		Private
Hacienda La Puente Adult Education	La Puente	6773	Public
La Belle Beauty Academy	Miami	16588	Private
Advanced Technical Centers	Miami		Private
Hawaii Community College	Hilo	8106	Public
Regency Beauty Institute-Winston-Salem	Winston-Salem	20456	Private
Robert Fiance Beauty Schools-North Plainfield	North Plainfield	23851	Private
Long Island Beauty School-Hauppauge	Hauppauge	12819	Private
Buckeye Joint Vocational School	New Philadelphia	6217	Public
Sandusky Career Center	Sandusky	13756	Public
Greater Altoona Career & Technology Center	Altoona	12626	Public
Northeastern Hospital School of Nursing	Philadelphia		Private
Central Texas Beauty College-Temple	Temple	5823	Private
Dance Theatre of Harlem Inc	New York	15655	Private
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program	Angola	11419	Public
Empire Beauty School-Brooklyn	Brooklyn	15342	Private
Houston Training School-Gulfgate	Houston	4154	Private
Star Career Academy-Philadelphia	Philadelphia	20936	Private
Antonelli College-Hattiesburg	Hattiesburg	22260	Private
Eastern New Mexico University-Ruidoso Campus	Ruidoso	7877	Public
Beacon College	Leesburg	43362	Private
Acupuncture and Integrative Medicine College-Berkeley	Berkeley		Private
Estrella Mountain Community College	Avondale	7790	Public
Heartland Community College	Normal	8124	Public
University of the Potomac-Washington DC Campus	Washington	21688	Private
Rabbi Jacob Joseph School	Edison	4947	Private
Sanford-Brown Institute-Ft Lauderdale	Fort Lauderdale	16409	Private
The Salon Professional Academy-Melbourne	Melbourne	14187	Private
Fortis Institute-Scranton	Scranton	29844	Private
Milan Institute of Cosmetology-Amarillo	Amarillo	15027	Private
Everglades University	Boca Raton	33589	Private
Seminar L'moros Bais Yaakov	Brooklyn	15018	Private
Herzing University-Winter Park	Winter Park	22688	Private
Emil Fries Piano Hospital and Training Center	Vancouver	20355	Private
Fairview Beauty Academy	Fairview Park	5528	Private
Florida College of Natural Health-Pompano Beach	Pompano Beach	21012	Private
National College-Nashville	Nashville	18052	Private
College of Biblical Studies-Houston	Houston	24045	Private
Inner State Beauty School	Lyndhurst	6122	Private
Virginia College-Pensacola	Pensacola	17201	Private
Mid-EastCTC-Adult Education	Zanesville	9013	Public
Everest University-South Orlando	Orlando	22840	Private
Polaris Career Center	Middleburg Heights	8581	Public
P&A Scholars Beauty School	Detroit	13688	Private
Rensselaer BOCES-Practical Nursing Program	Troy	15430	Public
ASM Beauty World Academy	Davie	5938	Private
The Salter School-Tewksbury Campus	Tewksbury	25385	Private
Sharps Academy of Hair Styling	Grand Blanc		Private
College of Health Care Professions-Northwest	Houston	24049	Private
School of Professional Horticulture  New York Botanical Garden	Bronx		Private
Fortis College-Houston	Houston	18760	Private
Volunteer Beauty Academy-Madison	Madison	9164	Private
Watkins College of Art Design & Film	Nashville	28764	Private
Chicago ORT Technical Institute	Skokie	16267	Private
Alhambra Beauty College	Alhambra	9957	Private
UEI College-Gardena	Gardena	19672	Private
Asian American International Beauty College	Westminster		Private
Avance Beauty College	San Diego	16100	Private
Colton-Redlands-Yucaipa Regional Occupational Program	Redlands	14002	Public
Copper Mountain Community College	Joshua Tree	9452	Public
Diversified Vocational College	Los Angeles	12140	Private
Bristol University	Anaheim	18797	Private
UEI College-Fresno	Fresno	20701	Private
Mt Sierra College	Monrovia	18770	Private
Wyotech-Long Beach	Long Beach	30350	Private
Santiago Canyon College	Orange	3129	Public
Southern California Institute of Technology	Anaheim	24892	Private
Soka University of America	Aliso Viejo	12208	Private
Summit College	Colton	21247	Private
Advance Beauty College	Garden Grove		Private
World Mission University	Los Angeles	17562	Private
Yo San University of Traditional Chinese Medicine	Los Angeles		Private
Coast Career Institute	Los Angeles	12227	Private
Cannella School of Hair Design-Blue Island	Blue Island	4719	Private
John Amico School of Hair Design	Oak Forest	5403	Private
Delta College Inc	Covington	18046	Private
Colorado Technical University-Sioux Falls	Sioux Falls		Private
Southwest University of Visual Arts-Albuquerque	Albuquerque	41878	Private
Tri-State Cosmetology Institute	El Paso	14524	Private
Widener University-Commonwealth Law School	Harrisburg		Private
Volunteer Beauty Academy-Nashville	Nashville	8343	Private
Frontier Community College	Fairfield	166	Public
Lincoln Trail College	Robinson	-595	Public
Wabash Valley College	Mount Carmel	97	Public
American Institute of Interior Design	Fountain Hills	15401	Private
Brookline College-Tempe	Tempe	22641	Private
Baker College of Auburn Hills	Auburn Hills	12510	Private
Baker College of Clinton Township	Clinton Township	13013	Private
Inter American University of Puerto Rico-School of Optometry	Bayamon		Private
Schiller International University	Largo	30145	Private
Vatterott College-Springfield	Springfield	19255	Private
Vatterott College-Joplin	Joplin	17659	Private
Vatterott College-Kansas City	Kansas City	18992	Private
Coconino Community College	Flagstaff	9682	Public
Sanford-Brown College-Houston	Houston	16783	Private
Sanford-Brown Institute-Jacksonville	Jacksonville	17550	Private
Sanford-Brown College-Dallas	Dallas	17568	Private
Baker College of Cadillac	Cadillac	13600	Private
Emma's Beauty Academy-Juana Diaz	Juana Diaz	5198	Private
Franklin Academy	Cleveland	10252	Private
Columbia Central University-Yauco	Yauco	4968	Private
Pima Medical Institute-Denver	Denver	16108	Private
ASA College	Brooklyn	20197	Private
Ohio State School of Cosmetology-Westerville	Westerville	15309	Private
Nationwide Beauty Academy	Columbus	14896	Private
Yeshivas Novominsk	Brooklyn	6875	Private
Southern Careers Institute-Corpus Christi	Corpus Christi	27588	Private
Kiamichi Technology Center-Stigler	Stigler	883	Public
Rabbinical College of Ohr Shimon Yisroel	Brooklyn	8436	Private
Carroll Community College	Westminster	4833	Public
University of Phoenix-New Mexico	Albuquerque	17327	Private
Galen College of Nursing-Tampa Bay	Saint Petersburg	22120	Private
Galen College of Nursing-San Antonio	San Antonio		Private
Sarasota School of Massage Therapy	Sarasota	21965	Private
Westwood College-Dupage	Woodridge	23820	Private
Wright Career College	Overland Park	14013	Private
Daymar College-Louisville	Louisville		Private
Schuyler Steuben Chemung Tioga Allegany BOCES	Elmira	13477	Public
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program	Norwich	10724	Public
DCI Career Institute	Monaca	15223	Private
Central Susquehanna Intermediate Unit LPN Career	Lewisburg	14364	Public
Myotherapy College of Utah	Salt Lake City	16929	Private
Graham Webb International Academy of Hair	Arlington	13081	Private
City College-Gainesville	Gainesville	24220	Private
Arizona State University-West	Glendale	8612	Public
Connecticut Center for Massage Therapy-Westport	Westport	22449	Private
ITT Technical Institute-Jacksonville	Jacksonville	24150	Private
G Skin & Beauty Institute	Oakbrook	23804	Private
Cosmetology Training Center	Lafayette	11011	Private
Stage One-The Hair School	Lake Charles	8811	Private
Empire Beauty School-Malden	Malden	14286	Private
Minnesota School of Business-Brooklyn Center	Brooklyn Center	18060	Private
ITT Technical Institute-Omaha	Omaha	23675	Private
Omaha School of Massage and Healthcare of Herzing University	Omaha	23411	Private
Xenon International Academy-Omaha	Omaha	13512	Private
Capri Institute of Hair Design-Brick	Brick	14291	Private
Capri Institute of Hair Design-Kenilworth	Kenilworth	32574	Private
Capri Institute of Hair Design-Paramus	Paramus	17195	Private
Orlo School of Hair Design and Cosmetology	Albany	11204	Private
Delaware Area Career Center	Delaware		Private
Eastland-Fairfield Career and Technical Schools	Groveport	6121	Public
Empire Beauty School-Cincinnati	Cincinnati	14182	Private
Mahoning County Career and Technical Center	Canfield	14578	Public
Pickaway Ross Joint Vocational School District	Chillicothe		Private
Pioneer Career and Technology Center	Shelby	6185	Public
Raphael's School of Beauty Culture Inc-Boardman	Boardman	10123	Private
Scioto County Career Technical Center	Lucasville	16841	Public
Trumbull Career & Technical Center	Warren	8034	Public
Northwest Technology Center-Fairview	Fairview	-2434	Public
Lake Erie College of Osteopathic Medicine	Erie		Private
University of Cosmetology Arts & Sciences-Harlingen	Harlingen	12415	Private
Gene Juarez Academy of Beauty-Federal Way	Federal Way	13082	Private
Empire Beauty School-Green Bay	Ashwaubenon	13301	Private
Warren County Career Center	Lebanon	18998	Public
Brown Mackie College-Fort Wayne	Fort Wayne	18921	Private
Paul Mitchell the School-Wichita	Wichita	26931	Private
Pinnacle Institute of Cosmetology	Mooresville	13710	Private
Career Training Academy-Monroeville	Monroeville	12242	Private
Southern Careers Institute-Pharr	Pharr	22252	Private
Texas State Technical College-Marshall	Marshall	12777	Public
Laurel Technical Institute	MEADVILLE	8134	Private
Florida National University-Main Campus	Hialeah	19477	Private
Georgia Institute of Cosmetology	Athens	13720	Private
Nouvelle Institute	Miami	14261	Private
