InstutionName	City	Tuition	InstitutionType
American Conservatory Theater	San Francisco		Private
American River College	Sacramento	6371	Public
Antelope Valley College	Lancaster	5367	Public
Art Center College of Design	Pasadena	43155	Private
Associated Technical College-Los Angeles	Los Angeles	18327	Private
Associated Technical College-San Diego	San Diego	22023	Private
Azusa Pacific University	Azusa	29574	Private
Bakersfield College	Bakersfield	3849	Public
Barstow Community College	Barstow	8833	Public
Bellus Academy-National City	National City	23293	Private
Bethesda University	Anaheim	9481	Private
Biola University	La Mirada	31176	Private
Brooks Institute	Ventura	29322	Private
Brownson Technical School	Anaheim	21769	Private
Bryan University	Los Angeles	18575	Private
Butte College	Oroville	4975	Public
Phillips Graduate Institute	Chatsworth		Private
California Institute of Integral Studies	San Francisco		Private
Cabrillo College	Aptos	8234	Public
California Baptist University	Riverside	27813	Private
California College of the Arts	San Francisco	29997	Private
University of California-Hastings College of Law	San Francisco		Private
California Institute of Technology	Pasadena	25308	Private
California Lutheran University	Thousand Oaks	27918	Private
California Polytechnic State University-San Luis Obispo	San Luis Obispo	18047	Public
Alliant International University-San Diego	San Diego	18078	Private
California State University-Bakersfield	Bakersfield	6297	Public
California State University-Stanislaus	Turlock	6759	Public
California State University-San Bernardino	San Bernardino	6712	Public
California State Polytechnic University-Pomona	Pomona	11085	Public
California State University-Chico	Chico	13640	Public
California State University-Dominguez Hills	Carson	2416	Public
California State University-Fresno	Fresno	6265	Public
California State University-Fullerton	Fullerton	7237	Public
California State University-East Bay	Hayward	10340	Public
California State University-Long Beach	Long Beach	9389	Public
California State University-Los Angeles	Los Angeles	3287	Public
California State University-Northridge	Northridge	8918	Public
California State University-Sacramento	Sacramento	8953	Public
University of California-Berkeley	Berkeley	13707	Public
University of California-Davis	Davis	15514	Public
University of California-Irvine	Irvine	12771	Public
University of California-Los Angeles	Los Angeles	13399	Public
University of California-Riverside	Riverside	13144	Public
University of California-San Diego	La Jolla	14136	Public
University of California-San Francisco	San Francisco		Private
University of California-Santa Barbara	Santa Barbara	15755	Public
University of California-Santa Cruz	Santa Cruz	16086	Public
Sofia University	Palo Alto		Private
California Beauty School	Modesto	12210	Private
California Christian College	Fresno	18360	Private
Le Cordon Bleu College of Culinary Arts-San Francisco	San Francisco	17377	Private
California Hair Design Academy	La Mesa	15333	Private
California Institute of the Arts	Valencia	44478	Private
The California Maritime Academy	Vallejo	15472	Public
California Western School of Law	San Diego		Private
Canada College	Redwood City	2668	Public
College of the Canyons	Santa Clarita	5507	Public
Career Academy of Beauty	Garden Grove	13513	Private
Casa Loma College-Van Nuys	Van Nuys	19899	Private
CET-San Diego	San Diego	13841	Private
CET-Sobrato	San Jose	10776	Private
CET-El Centro	El Centro	9529	Private
CET-San Bernardino	San Bernardino	13851	Private
CET-Watsonville	Watsonville	8540	Private
CET-Salinas	Salinas	9173	Private
Cerritos College	Norwalk	9214	Public
Cerro Coso Community College	Ridgecrest	7359	Public
Chabot College	Hayward	6046	Public
Chaffey College	Rancho Cucamonga	8095	Public
Chapman University	Orange	35602	Private
Charles R Drew University of Medicine and Science	Los Angeles	21878	Private
Concordia University-Irvine	Irvine	24698	Private
San Diego Christian College	Santee	27734	Private
Church Divinity School of the Pacific	Berkeley		Private
Citrus College	Glendora	3179	Public
Citrus Heights Beauty College	Citrus Heights	6817	Private
City College of San Francisco	San Francisco	3731	Public
Claremont Graduate University	Claremont		Private
Claremont McKenna College	Claremont	18545	Private
Milan Institute-Visalia	Visalia	18112	Private
Clovis Adult Education	Clovis	14936	Public
Coastline Community College	Fountain Valley	5460	Public
Cogswell College	San Jose	20667	Private
Coleman University	San Diego	27721	Private
COBA Academy	Orange	12634	Private
Western University of Health Sciences	Pomona		Private
Columbia College	Sonora	5337	Public
Columbia College-Hollywood	Tarzana	25921	Private
El Camino College-Compton Center	Compton	6731	Public
Contra Costa College	San Pablo	9420	Public
Cosumnes River College	Sacramento	7535	Public
Crafton Hills College	Yucaipa	10976	Public
Cuesta College	San Luis Obispo	10855	Public
Cuyamaca College	El Cajon	1981	Public
Cypress College	Cypress	6993	Public
De Anza College	Cupertino	4019	Public
Marinello Schools of Beauty-Hemet	Hemet	15448	Private
International School of Beauty Inc	Palm Desert	10893	Private
Dell'Arte International School of Physical Theatre	Blue Lake		Private
College of the Desert	Palm Desert	7893	Public
Design Institute of San Diego	San Diego	19764	Private
Diablo Valley College	Pleasant Hill	9213	Public
Dominican University of California	San Rafael	32891	Private
Dominican School of Philosophy & Theology	Berkeley		Private
East Los Angeles College	Monterey Park	7772	Public
Marinello Schools of Beauty-Santa Clara	Santa Clara	12197	Private
El Camino Community College District	Torrance	8504	Public
Elegance International	Hollywood	30598	Private
Marinello Schools of Beauty-Burbank	Burbank	14758	Private
Marinello Schools of Beauty-Moreno Valley	Moreno Valley	14306	Private
